supplier_title,vendor,sku,category,price,inventory,material,color,notes
"  portable LED desk lamp - USB rechargeable ",Bright Home,BH-LED-001,home lighting,"$24.99",31,aluminum,white,"good margin; use for home office"
"Portable led Desk Lamp USB Rechargeable",BrightHome,BH LED 001,Lamps,"24.99 USD",31,aluminum,White,"duplicate from second supplier"
"women yoga leggings high waist black",FitWear,,apparel,"18.5",52,polyester,black,"new arrival"
"High Waist Yoga Leggings - Women",Fit Wear,FW-YOGA-88,Womens Clothing,"$18.50",52,polyester,Black,"same product from catalog export"
"stainless steel water bottle 750ml",OutdoorPeak,OP-BTL-750,drinkware,"12.00",0,stainless steel,silver,"out of stock"
"Bamboo cutting board set 3 pcs",KitchenPro,KP-CUT-003,kitchen,"$16.70",18,bamboo,natural,"bundle product"
"Mini Bluetooth Speaker waterproof",SoundMax,SM-SPK-11,electronics,"USD 29.99",14,plastic,blue,"IPX7"
"Pet grooming brush self cleaning",PawCare,PC-BRUSH-2,pets,"9.8",67,plastic,green,""
"travel organizer packing cubes 6pc",NomadNest,NN-CUBE-6,travel,"$21",23,nylon,gray,"set of 6"
"ceramic coffee mug handmade blue",CraftCup,CC-MUG-BLUE,drinkware,"not set",12,ceramic,blue,"price missing"
"LED Strip Lights 5m RGB",Bright Home,BH-STRIP-5M,home lighting,"15.49",44,plastic,rgb,""
"wireless mouse ergonomic silent",OfficeMate,OM-MOUSE-7,office,"$13.20",39,plastic,black,""
