Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,SEO Title,SEO Description,Status,Cleanup Notes
bright-home-portable-led-desk-lamp-usb-rechargeable,Portable LED Desk Lamp USB Rechargeable,<p>Portable LED Desk Lamp USB Rechargeable. Material: aluminum. Color: white. good margin; use for home office</p>,Bright Home,Home & Garden > Lighting,Lighting,"lighting, aluminum, white",TRUE,Title,Default Title,BH-LED-001,31,24.99,Portable LED Desk Lamp USB Rechargeable | Bright Home,Shop Portable LED Desk Lamp USB Rechargeable from Bright Home. Clean product data prepared for ecommerce import.,active,
bright-home-portable-led-desk-lamp-usb-rechargeable,Portable LED Desk Lamp USB Rechargeable,<p>Portable LED Desk Lamp USB Rechargeable. Material: aluminum. Color: White. duplicate from second supplier</p>,Bright Home,Home & Garden > Lighting,Lighting,"lighting, aluminum, white",TRUE,Title,Default Title,BH-LED-001,31,24.99,Portable LED Desk Lamp USB Rechargeable | Bright Home,Shop Portable LED Desk Lamp USB Rechargeable from Bright Home. Clean product data prepared for ecommerce import.,active,Possible duplicate SKU
fitwear-women-yoga-leggings-high-waist-black,Women Yoga Leggings High Waist Black,<p>Women Yoga Leggings High Waist Black. Material: polyester. Color: black. new arrival</p>,FitWear,Apparel & Accessories > Clothing,Clothing,"clothing, polyester, black",TRUE,Title,Default Title,F-WOMENYOG-003,52,18.50,Women Yoga Leggings High Waist Black | FitWear,Shop Women Yoga Leggings High Waist Black from FitWear. Clean product data prepared for ecommerce import.,active,Generated missing SKU
fitwear-high-waist-yoga-leggings-women,High Waist Yoga Leggings Women,<p>High Waist Yoga Leggings Women. Material: polyester. Color: Black. same product from catalog export</p>,FitWear,Apparel & Accessories > Clothing,Clothing,"clothing, polyester, black",TRUE,Title,Default Title,FW-YOGA-88,52,18.50,High Waist Yoga Leggings Women | FitWear,Shop High Waist Yoga Leggings Women from FitWear. Clean product data prepared for ecommerce import.,active,
outdoorpeak-stainless-steel-water-bottle-750ml,Stainless Steel Water Bottle 750ML,<p>Stainless Steel Water Bottle 750ML. Material: stainless steel. Color: silver. out of stock</p>,OutdoorPeak,Sporting Goods > Outdoor Recreation,Outdoor Recreation,"outdoor recreation, stainless steel, silver",FALSE,Title,Default Title,OP-BTL-750,0,12.00,Stainless Steel Water Bottle 750ML | OutdoorPeak,Shop Stainless Steel Water Bottle 750ML from OutdoorPeak. Clean product data prepared for ecommerce import.,draft,Inventory is zero
kitchenpro-bamboo-cutting-board-set-3-pcs,Bamboo Cutting Board Set 3 Pcs,<p>Bamboo Cutting Board Set 3 Pcs. Material: bamboo. Color: natural. bundle product</p>,KitchenPro,Home & Garden > Kitchen & Dining,Kitchen & Dining,"kitchen & dining, bamboo, natural",TRUE,Title,Default Title,KP-CUT-003,18,16.70,Bamboo Cutting Board Set 3 Pcs | KitchenPro,Shop Bamboo Cutting Board Set 3 Pcs from KitchenPro. Clean product data prepared for ecommerce import.,active,
soundmax-mini-bluetooth-speaker-waterproof,Mini Bluetooth Speaker Waterproof,<p>Mini Bluetooth Speaker Waterproof. Material: plastic. Color: blue. IPX7</p>,SoundMax,Electronics > Audio,Audio,"audio, plastic, blue",TRUE,Title,Default Title,SM-SPK-11,14,29.99,Mini Bluetooth Speaker Waterproof | SoundMax,Shop Mini Bluetooth Speaker Waterproof from SoundMax. Clean product data prepared for ecommerce import.,active,
pawcare-pet-grooming-brush-self-cleaning,Pet Grooming Brush Self Cleaning,<p>Pet Grooming Brush Self Cleaning. Material: plastic. Color: green</p>,PawCare,Animals & Pet Supplies > Pet Grooming,Pet Grooming,"pet grooming, plastic, green",TRUE,Title,Default Title,PC-BRUSH-2,67,9.80,Pet Grooming Brush Self Cleaning | PawCare,Shop Pet Grooming Brush Self Cleaning from PawCare. Clean product data prepared for ecommerce import.,active,
nomadnest-travel-organizer-packing-cubes-6pc,Travel Organizer Packing Cubes 6PC,<p>Travel Organizer Packing Cubes 6PC. Material: nylon. Color: gray. set of 6</p>,NomadNest,Sporting Goods > Outdoor Recreation,Outdoor Recreation,"outdoor recreation, nylon, gray",TRUE,Title,Default Title,NN-CUBE-6,23,21.00,Travel Organizer Packing Cubes 6PC | NomadNest,Shop Travel Organizer Packing Cubes 6PC from NomadNest. Clean product data prepared for ecommerce import.,active,
craftcup-ceramic-coffee-mug-handmade-blue,Ceramic Coffee Mug Handmade Blue,<p>Ceramic Coffee Mug Handmade Blue. Material: ceramic. Color: blue. price missing</p>,CraftCup,Home & Garden > Kitchen & Dining,Kitchen & Dining,"kitchen & dining, ceramic, blue",FALSE,Title,Default Title,CC-MUG-BLUE,12,,Ceramic Coffee Mug Handmade Blue | CraftCup,Shop Ceramic Coffee Mug Handmade Blue from CraftCup. Clean product data prepared for ecommerce import.,draft,Price requires manual review
bright-home-led-strip-lights-5m-rgb,LED Strip Lights 5M RGB,<p>LED Strip Lights 5M RGB. Material: plastic. Color: rgb</p>,Bright Home,Home & Garden > Lighting,Lighting,"lighting, plastic, rgb",TRUE,Title,Default Title,BH-STRIP-5M,44,15.49,LED Strip Lights 5M RGB | Bright Home,Shop LED Strip Lights 5M RGB from Bright Home. Clean product data prepared for ecommerce import.,active,
officemate-wireless-mouse-ergonomic-silent,Wireless Mouse Ergonomic Silent,<p>Wireless Mouse Ergonomic Silent. Material: plastic. Color: black</p>,OfficeMate,Office Supplies,Office Supplies,"office supplies, plastic, black",TRUE,Title,Default Title,OM-MOUSE-7,39,13.20,Wireless Mouse Ergonomic Silent | OfficeMate,Shop Wireless Mouse Ergonomic Silent from OfficeMate. Clean product data prepared for ecommerce import.,active,
